,name,label,description,field_type,mandatory,multiplicity,ERC
0,project name,project name,Name of the project within which the sequencing was organized,"
                              ",mandatory,multiple,ERC000020.xml
1,experimental factor,experimental factor,"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI. E.g. time series design [EFO:EFO_0001779]","
                              ",optional,multiple,ERC000020.xml
2,ploidy,ploidy,"The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2018-03-27) please refer to http://purl.bioontology.org/ontology/PATO","
                              ",optional,multiple,ERC000020.xml
3,number of replicons,number of replicons,"Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote. Mandatory for MIGS of eukaryotes, bacteria, archaea and segmented virus.","
                              ",optional,multiple,ERC000020.xml
4,extrachromosomal elements,extrachromosomal elements,Do plasmids exist of significant phenotypic consequence (e.g. ones that determine virulence or antibiotic resistance). Megaplasmids? Other plasmids (borrelia has 15+ plasmids).,"
                              ",optional,multiple,ERC000020.xml
5,estimated size,estimated size,The estimated size of the genome (in bp) prior to sequencing. Of particular importance in the sequencing of (eukaryotic) genome which could remain in draft form for a long or unspecified period. Mandatory for MIGS of eukaryotes.,"
                              ",optional,multiple,ERC000020.xml
6,reference for biomaterial,reference for biomaterial,"Primary publication if isolated before genome publication; otherwise, primary genome report. Mandatory for MIGS of bacteria and archaea.","
                              ",optional,multiple,ERC000020.xml
7,annotation source,annotation source,For cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter,"
                              ",optional,multiple,ERC000020.xml
8,sample volume or weight for DNA extraction,sample volume or weight for DNA extraction,Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term 'sample size'.,"
                              ",optional,multiple,ERC000020.xml
9,nucleic acid extraction,nucleic acid extraction,"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample","
                              ",optional,multiple,ERC000020.xml
10,nucleic acid amplification,nucleic acid amplification,"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the enzymatic amplification (PCR, TMA, NASBA) of specific nucleic acids","
                              ",optional,multiple,ERC000020.xml
11,library size,library size,Total number of clones in the library prepared for the project,"
                              ",optional,multiple,ERC000020.xml
12,library reads sequenced,library reads sequenced,Total number of clones sequenced from the library,"
                              ",optional,multiple,ERC000020.xml
13,library construction method,library construction method,Library construction method used for clone libraries,"
                              ",optional,multiple,ERC000020.xml
14,library vector,library vector,Cloning vector type(s) used in construction of libraries,"
                              ",optional,multiple,ERC000020.xml
15,library screening strategy,library screening strategy,Specific enrichment or screening methods applied before and/or after creating clone libraries in order to select a specific group of sequences,"
                              ",optional,multiple,ERC000020.xml
16,target gene,target gene,Targeted gene or locus name for marker gene studies,"
                              ",optional,multiple,ERC000020.xml
17,target subfragment,target subfragment,Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA,"
                              ",optional,multiple,ERC000020.xml
18,pcr primers,pcr primers,"PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters","
                              ",optional,multiple,ERC000020.xml
19,multiplex identifiers,multiplex identifiers,"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters","
                              ",optional,multiple,ERC000020.xml
20,adapters,adapters,Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters,"
                              ",optional,multiple,ERC000020.xml
